공지일시,노선명,사고유형,주행방향,통제차로수,기상상태,지속시간_분,위험도_점수,위험_등급,위도,경도
2024-02-01 12:10:00,서해안고속도로,교통사고,하행,1,눈,148,1.48,1,37.92896,128.86422
2024-02-01 18:55:00,경부고속도로,공사,하행,0,흐림,123,0.0,0,34.80036,128.37774
2024-02-02 14:54:00,영동고속도로,교통사고,하행,1,맑음,51,0.77,1,36.81618,127.87653
2024-02-02 21:01:00,통영대전고속도로,낙하물,하행,0,눈,134,0.0,0,37.31296,127.35738
2024-02-04 09:17:00,경부고속도로,기상악화,상행,1,맑음,121,0.82,1,36.99202,128.69719
2024-02-04 11:10:00,서해안고속도로,공사,하행,0,맑음,112,0.0,0,36.81765,126.90262
2024-02-04 13:06:00,광주대구고속도로,공사,하행,3,비,39,2.34,2,35.59336,127.09341
2024-02-04 16:47:00,영동고속도로,낙하물,하행,0,흐림,64,0.0,0,36.01619,128.53032
2024-02-05 09:14:00,남해고속도로,공사,상행,1,흐림,47,0.816,1,34.99777,127.27241
2024-02-05 09:24:00,동해고속도로,공사,상행,2,비,71,1.47,1,35.26914,128.84391
2024-02-05 17:03:00,남해고속도로,교통사고,상행,0,안개,145,0.0,0,38.16656,127.91806
2024-02-06 06:30:00,중부고속도로,공사,하행,1,비,121,0.915,1,36.23602,128.47623
2024-02-06 07:35:00,경부고속도로,기상악화,하행,0,맑음,107,0.0,0,37.99212,127.76606
2024-02-07 08:07:00,남해고속도로,교통사고,상행,1,맑음,50,0.68,1,36.36099,126.75761
2024-02-07 09:26:00,중부고속도로,공사,하행,1,안개,55,1.098,1,34.79852,128.65906
2024-02-07 21:35:00,경부고속도로,공사,하행,2,맑음,126,1.64,2,38.31882,127.51788
2024-02-08 17:24:00,영동고속도로,공사,하행,2,비,82,2.31,2,35.19531,128.73407
2024-02-08 18:24:00,중부고속도로,낙하물,하행,0,눈,147,0.0,0,37.89152,128.43854
2024-02-09 07:23:00,남해고속도로,교통사고,하행,1,비,75,1.02,1,37.21155,127.81999
2024-02-09 07:29:00,동해고속도로,교통사고,하행,0,맑음,162,0.0,0,36.69176,126.58416
2024-02-09 07:40:00,남해고속도로,차량고장,하행,0,맑음,55,0.0,0,35.55016,126.66363
2024-02-09 15:21:00,남해고속도로,공사,상행,0,비,90,0.0,0,36.47664,128.7067
2024-02-09 16:39:00,동해고속도로,기상악화,하행,0,맑음,176,0.0,0,37.89446,128.20457
2024-02-09 17:20:00,통영대전고속도로,공사,상행,2,흐림,155,1.392,1,34.93636,127.09031
2024-02-09 19:08:00,서해안고속도로,교통사고,하행,1,비,38,1.11,1,35.33502,126.62158
2024-02-09 19:44:00,서해안고속도로,교통사고,상행,0,맑음,79,0.0,0,37.4754,126.87052
2024-02-10 03:09:00,영동고속도로,교통사고,하행,2,흐림,39,1.848,2,38.39606,129.29744
2024-02-10 04:33:00,중부고속도로,공사,상행,1,흐림,128,0.732,1,38.4625,126.58142
2024-02-10 12:08:00,중부고속도로,기상악화,하행,2,안개,90,2.196,2,36.01455,127.37506
2024-02-11 07:48:00,영동고속도로,차량고장,하행,1,맑음,140,0.77,1,36.58021,128.21217
2024-02-11 07:50:00,통영대전고속도로,차량고장,상행,1,안개,83,1.044,1,34.74383,129.15491
2024-02-11 08:36:00,중부고속도로,교통사고,하행,1,비,46,0.915,1,35.92807,127.78811
2024-02-11 13:27:00,광주대구고속도로,공사,하행,0,흐림,77,0.0,0,37.41696,128.38458
2024-02-11 18:10:00,호남고속도로,기상악화,상행,1,흐림,46,0.66,1,36.62632,129.04483
2024-02-11 18:17:00,남해고속도로,교통사고,상행,1,흐림,63,0.816,1,37.12149,128.07887
2024-02-11 19:16:00,통영대전고속도로,공사,상행,1,맑음,41,0.58,1,34.73732,129.36767
2024-02-12 00:19:00,서해안고속도로,교통사고,하행,0,비,10,0.0,0,37.07155,129.1516
2024-02-12 09:25:00,광주대구고속도로,공사,하행,0,안개,30,0.0,0,38.38985,126.96326
2024-02-12 18:01:00,호남고속도로,공사,상행,3,비,63,2.475,2,37.05169,128.67192
2024-02-13 07:23:00,광주대구고속도로,낙하물,하행,2,맑음,13,1.04,1,37.4851,127.42823
2024-02-13 15:59:00,동해고속도로,교통사고,하행,3,맑음,147,1.47,1,34.72376,128.75353
2024-02-13 23:18:00,동해고속도로,차량고장,하행,3,안개,76,2.646,2,35.93674,127.09027
2024-02-14 09:28:00,호남고속도로,공사,상행,0,맑음,149,0.0,0,38.44118,128.47458
2024-02-14 12:52:00,호남고속도로,교통사고,하행,1,맑음,66,0.55,1,35.82758,127.30424
2024-02-14 13:55:00,남해고속도로,기상악화,하행,2,맑음,85,1.36,1,35.26208,128.19041
2024-02-14 18:05:00,남해고속도로,교통사고,하행,2,비,76,2.04,2,35.20907,127.09219
2024-02-14 20:37:00,경부고속도로,낙하물,하행,2,비,137,2.46,2,36.27428,126.73766
2024-02-15 07:09:00,남해고속도로,공사,하행,1,비,34,1.02,1,34.62557,126.50387
2024-02-15 08:14:00,경부고속도로,공사,상행,0,흐림,62,0.0,0,35.85613,126.96222
2024-02-15 09:42:00,광주대구고속도로,공사,상행,1,맑음,149,0.52,1,37.00337,126.57816
2024-02-16 17:31:00,통영대전고속도로,교통사고,상행,1,흐림,47,0.696,1,37.36252,126.51045
2024-02-17 11:39:00,동해고속도로,공사,하행,0,흐림,133,0.0,0,37.40859,127.88544
2024-02-17 15:22:00,영동고속도로,교통사고,상행,2,흐림,122,1.848,2,34.96658,129.42428
2024-02-17 19:27:00,남해고속도로,공사,하행,2,흐림,159,1.632,2,37.96398,129.3782
2024-02-17 19:52:00,영동고속도로,교통사고,하행,1,흐림,90,0.924,1,36.61476,128.30365
2024-02-18 07:20:00,중앙고속도로,차량고장,하행,0,흐림,179,0.0,0,38.14935,126.66775
2024-02-18 13:34:00,동해고속도로,공사,하행,1,눈,81,0.98,1,38.00985,127.93138
2024-02-18 14:15:00,호남고속도로,교통사고,하행,1,맑음,176,0.55,1,36.07427,126.67748
2024-02-18 15:20:00,통영대전고속도로,공사,상행,0,맑음,62,0.0,0,37.45958,129.11116
2024-02-18 17:08:00,중부고속도로,공사,하행,1,비,92,0.915,1,35.23715,129.49327
2024-02-19 18:17:00,광주대구고속도로,교통사고,하행,0,흐림,30,0.0,0,35.1216,129.40266
2024-02-19 21:57:00,호남고속도로,교통사고,하행,3,안개,87,2.97,2,35.28197,126.58081
2024-02-20 10:48:00,중부고속도로,차량고장,하행,1,맑음,122,0.61,1,35.52031,129.35835
2024-02-21 23:10:00,호남고속도로,교통사고,하행,1,비,38,0.825,1,34.94646,128.28498
2024-02-22 01:45:00,남해고속도로,기상악화,하행,1,맑음,161,0.68,1,35.08866,129.17049
2024-02-23 12:52:00,영동고속도로,낙하물,상행,3,비,150,3.465,2,34.54043,127.13441
2024-02-23 14:55:00,중앙고속도로,차량고장,하행,1,눈,120,1.26,1,36.81178,127.01709
2024-02-24 07:44:00,서해안고속도로,공사,하행,0,맑음,68,0.0,0,37.77899,129.21854
2024-02-24 08:15:00,중부고속도로,차량고장,하행,2,흐림,121,1.464,1,38.1508,126.87519
2024-02-24 17:03:00,경부고속도로,교통사고,하행,2,흐림,175,1.968,2,34.61066,126.91853
2024-02-24 21:00:00,호남고속도로,기상악화,하행,0,맑음,154,0.0,0,37.3605,128.14005
2024-02-25 06:06:00,서해안고속도로,공사,상행,1,맑음,33,0.74,1,36.65015,126.54154
2024-02-27 18:25:00,서해안고속도로,교통사고,하행,0,맑음,68,0.0,0,36.24738,127.85162
2024-02-27 19:10:00,호남고속도로,공사,상행,0,맑음,30,0.0,0,34.68659,128.86121
2024-02-27 19:45:00,광주대구고속도로,교통사고,하행,2,안개,90,1.872,2,35.02671,128.52845
2024-02-27 20:14:00,호남고속도로,교통사고,상행,1,눈,62,1.1,1,37.30822,126.56541
2024-02-28 02:17:00,영동고속도로,교통사고,하행,1,흐림,164,0.924,1,36.44217,128.2991
2024-02-28 12:09:00,호남고속도로,교통사고,상행,3,맑음,139,1.65,2,35.89069,128.71932
2024-02-28 19:23:00,통영대전고속도로,교통사고,하행,1,맑음,140,0.58,1,37.39697,127.70699
2024-03-01 07:07:00,중부고속도로,낙하물,하행,1,눈,122,1.22,1,38.40498,126.98887
2024-03-01 19:49:00,동해고속도로,낙하물,상행,2,흐림,177,1.176,1,36.23248,128.14509
2024-03-02 14:18:00,광주대구고속도로,기상악화,하행,2,맑음,80,1.04,1,36.90704,127.6368
2024-03-02 22:27:00,경부고속도로,공사,상행,0,흐림,70,0.0,0,35.01351,127.47479
2024-03-03 17:28:00,광주대구고속도로,교통사고,하행,1,비,44,0.78,1,35.29107,128.08129
2024-03-04 20:28:00,호남고속도로,교통사고,하행,0,맑음,155,0.0,0,36.24276,127.94043
2024-03-04 20:45:00,중부고속도로,교통사고,상행,1,흐림,24,0.732,1,36.90129,127.61098
2024-03-04 22:03:00,경부고속도로,차량고장,상행,0,안개,134,0.0,0,37.84065,127.45151
2024-03-05 01:45:00,동해고속도로,교통사고,하행,1,안개,27,0.882,1,37.85267,129.16107
2024-03-05 08:14:00,영동고속도로,차량고장,하행,1,안개,96,1.386,1,36.16238,129.01494
2024-03-05 18:46:00,경부고속도로,교통사고,하행,1,맑음,109,0.82,1,35.87168,127.49673
2024-03-06 03:07:00,통영대전고속도로,교통사고,상행,2,맑음,65,1.16,1,35.68125,128.10443
2024-03-06 06:54:00,남해고속도로,교통사고,하행,3,비,85,3.06,2,36.82722,128.93356
2024-03-06 14:26:00,중부고속도로,공사,하행,2,흐림,176,1.464,1,36.84554,128.42924
2024-03-06 17:08:00,중부고속도로,교통사고,하행,1,맑음,140,0.61,1,37.38716,128.48528
2024-03-07 09:24:00,통영대전고속도로,교통사고,하행,0,눈,136,0.0,0,36.02265,127.27561
2024-03-08 02:43:00,경부고속도로,교통사고,상행,1,맑음,124,0.82,1,36.40332,128.40164
2024-03-08 11:15:00,영동고속도로,교통사고,상행,2,흐림,50,1.848,2,36.10608,129.08007
2024-03-08 13:39:00,동해고속도로,공사,하행,0,흐림,50,0.0,0,34.85547,126.63431
2024-03-10 21:18:00,호남고속도로,교통사고,하행,2,흐림,115,1.32,1,37.35524,126.96867
2024-03-11 08:41:00,서해안고속도로,기상악화,상행,1,맑음,74,0.74,1,36.05818,128.88475
2024-03-11 11:23:00,남해고속도로,공사,하행,0,맑음,98,0.0,0,37.37783,128.29324
2024-03-11 18:33:00,경부고속도로,교통사고,상행,1,흐림,99,0.984,1,37.00709,128.64901
2024-03-12 07:26:00,호남고속도로,공사,상행,2,흐림,156,1.32,1,35.97086,129.46202
2024-03-12 08:01:00,영동고속도로,교통사고,상행,0,눈,39,0.0,0,35.91094,128.81028
2024-03-12 18:38:00,통영대전고속도로,공사,하행,0,맑음,128,0.0,0,34.59477,129.14017
2024-03-13 07:22:00,서해안고속도로,교통사고,하행,0,맑음,90,0.0,0,37.63134,127.7731
2024-03-13 08:38:00,동해고속도로,기상악화,하행,0,맑음,103,0.0,0,36.37778,127.01754
2024-03-13 15:49:00,광주대구고속도로,공사,상행,1,흐림,165,0.624,1,36.38823,126.99638
2024-03-14 06:29:00,호남고속도로,공사,하행,2,흐림,118,1.32,1,36.28014,127.31248
2024-03-14 08:55:00,서해안고속도로,낙하물,하행,1,맑음,111,0.74,1,34.73467,127.07678
2024-03-14 12:52:00,동해고속도로,낙하물,하행,0,비,111,0.0,0,36.74292,128.77025
2024-03-14 15:01:00,중앙고속도로,교통사고,하행,0,맑음,26,0.0,0,35.11806,126.75567
2024-03-14 18:00:00,중부고속도로,기상악화,하행,2,흐림,80,1.464,1,34.6529,127.51078
2024-03-16 17:51:00,호남고속도로,공사,하행,2,흐림,85,1.32,1,37.41214,128.38759
2024-03-17 11:47:00,호남고속도로,교통사고,상행,3,맑음,170,1.65,2,34.64212,127.51944
2024-03-17 15:13:00,통영대전고속도로,차량고장,하행,1,안개,49,1.044,1,37.23221,127.66192
2024-03-17 16:28:00,경부고속도로,기상악화,하행,2,맑음,45,1.64,2,36.1122,129.05378
2024-03-17 16:43:00,경부고속도로,교통사고,하행,1,흐림,19,0.984,1,36.06764,129.43001
2024-03-18 04:04:00,광주대구고속도로,교통사고,상행,0,맑음,146,0.0,0,38.21411,128.22134
2024-03-18 18:20:00,통영대전고속도로,차량고장,하행,0,맑음,136,0.0,0,34.93436,128.26747
2024-03-18 23:16:00,통영대전고속도로,교통사고,하행,3,맑음,136,1.74,2,37.12142,128.16338
2024-03-19 16:15:00,동해고속도로,교통사고,상행,1,맑음,156,0.49,0,36.07618,128.80802
2024-03-20 12:38:00,광주대구고속도로,공사,상행,0,맑음,175,0.0,0,35.80815,129.21718
2024-03-21 03:35:00,통영대전고속도로,기상악화,상행,1,맑음,152,0.58,1,35.56789,126.78957
2024-03-21 08:03:00,광주대구고속도로,공사,상행,1,안개,23,0.936,1,38.06951,128.78669
2024-03-21 19:15:00,서해안고속도로,교통사고,하행,2,흐림,161,1.776,2,35.09486,127.67416
2024-03-21 19:22:00,경부고속도로,공사,하행,0,눈,104,0.0,0,37.37875,127.93953
2024-03-22 14:40:00,경부고속도로,낙하물,상행,0,흐림,104,0.0,0,34.60282,127.60827
2024-03-22 17:55:00,중부고속도로,교통사고,하행,0,흐림,119,0.0,0,37.1778,127.75517
2024-03-23 13:35:00,서해안고속도로,공사,하행,1,흐림,98,0.888,1,36.94833,127.64789
2024-03-23 17:26:00,통영대전고속도로,공사,하행,0,흐림,171,0.0,0,34.98819,126.76856
2024-03-23 18:28:00,경부고속도로,차량고장,하행,2,흐림,59,1.968,2,36.26649,127.16619
2024-03-24 08:04:00,중부고속도로,교통사고,하행,1,흐림,163,0.732,1,35.38041,129.45014
2024-03-24 08:46:00,호남고속도로,공사,하행,1,흐림,36,0.66,1,35.38517,127.15114
2024-03-24 08:47:00,중부고속도로,차량고장,하행,3,비,60,2.745,2,36.22739,129.48679
2024-03-24 14:45:00,경부고속도로,공사,상행,1,안개,136,1.476,1,35.14732,126.68691
2024-03-24 15:57:00,동해고속도로,교통사고,상행,0,흐림,127,0.0,0,37.7134,128.71496
2024-03-25 13:45:00,중앙고속도로,교통사고,하행,3,맑음,99,1.89,2,35.47342,129.18013
2024-03-25 21:02:00,광주대구고속도로,공사,하행,1,맑음,161,0.52,1,36.81704,129.13713
2024-03-26 06:10:00,통영대전고속도로,기상악화,상행,0,맑음,80,0.0,0,35.60052,128.81386
2024-03-26 09:49:00,남해고속도로,공사,하행,0,흐림,49,0.0,0,35.14186,126.93335
2024-03-26 22:11:00,중앙고속도로,공사,상행,1,눈,156,1.26,1,37.29419,128.20208
2024-03-27 09:16:00,경부고속도로,기상악화,상행,1,흐림,177,0.984,1,35.34066,127.18322
2024-03-28 07:57:00,영동고속도로,공사,하행,1,맑음,52,0.77,1,36.63355,127.64462
2024-03-28 17:21:00,서해안고속도로,공사,상행,1,안개,178,1.332,1,34.62932,126.72084
2024-03-28 18:50:00,통영대전고속도로,기상악화,상행,2,안개,136,2.088,2,36.32185,126.83711
2024-03-28 21:51:00,서해안고속도로,차량고장,상행,3,맑음,95,2.22,2,38.04068,127.46468
2024-04-01 13:03:00,경부고속도로,교통사고,상행,0,맑음,114,0.0,0,37.95397,126.61056
2024-04-01 18:59:00,중부고속도로,낙하물,하행,1,흐림,106,0.732,1,36.32191,127.72176
2024-04-02 07:11:00,중부고속도로,낙하물,상행,0,안개,126,0.0,0,37.28247,126.58185
2024-04-02 07:14:00,호남고속도로,교통사고,상행,2,흐림,164,1.32,1,38.04722,126.83704
2024-04-02 17:07:00,중부고속도로,교통사고,상행,2,비,103,1.83,2,36.20347,129.18738
2024-04-02 17:35:00,남해고속도로,교통사고,상행,2,맑음,112,1.36,1,36.25335,128.54923
2024-04-02 19:31:00,중앙고속도로,낙하물,상행,0,비,115,0.0,0,37.39012,127.31156
2024-04-03 08:09:00,영동고속도로,공사,하행,2,흐림,120,1.848,2,35.12993,126.70479
2024-04-03 08:20:00,통영대전고속도로,낙하물,하행,1,안개,155,1.044,1,35.57368,129.01668
2024-04-03 17:43:00,서해안고속도로,교통사고,하행,0,비,125,0.0,0,34.88812,127.93166
2024-04-03 17:59:00,통영대전고속도로,공사,하행,0,맑음,47,0.0,0,36.7602,127.51182
2024-04-03 19:59:00,경부고속도로,교통사고,상행,2,맑음,47,1.64,2,36.44388,128.0559
2024-04-03 22:08:00,영동고속도로,공사,하행,0,안개,116,0.0,0,38.12237,128.63864
2024-04-04 06:36:00,남해고속도로,기상악화,하행,1,비,103,1.02,1,37.64556,127.66047
2024-04-04 13:57:00,남해고속도로,공사,상행,2,눈,101,2.72,2,36.85503,126.87924
2024-04-05 15:16:00,중앙고속도로,공사,상행,0,맑음,81,0.0,0,34.58217,128.22281
2024-04-05 17:08:00,영동고속도로,교통사고,하행,1,맑음,19,0.77,1,37.3098,127.57326
2024-04-06 09:54:00,경부고속도로,교통사고,상행,1,맑음,12,0.82,1,36.2392,127.14827
2024-04-06 11:06:00,영동고속도로,낙하물,하행,1,흐림,61,0.924,1,38.49796,127.54781
2024-04-07 15:21:00,동해고속도로,차량고장,하행,0,흐림,24,0.0,0,35.30636,128.29813
2024-04-07 18:56:00,동해고속도로,공사,하행,2,맑음,71,0.98,1,36.80107,127.00832
2024-04-07 23:27:00,남해고속도로,교통사고,상행,0,안개,99,0.0,0,36.54006,127.56042
2024-04-08 01:39:00,중앙고속도로,낙하물,하행,2,비,16,1.89,2,36.87514,128.15038
2024-04-08 12:51:00,중부고속도로,교통사고,하행,1,비,153,0.915,1,37.32711,128.96214
2024-04-08 18:53:00,서해안고속도로,교통사고,하행,0,맑음,40,0.0,0,38.41591,128.47472
2024-04-09 17:13:00,통영대전고속도로,공사,상행,1,비,113,0.87,1,35.47761,127.66974
2024-04-10 07:55:00,광주대구고속도로,낙하물,상행,0,흐림,148,0.0,0,36.80141,127.68371
2024-04-11 08:53:00,통영대전고속도로,교통사고,하행,3,눈,18,3.48,2,35.43641,128.00462
2024-04-11 19:38:00,남해고속도로,교통사고,상행,3,흐림,113,2.448,2,35.6386,128.04182
2024-04-11 20:17:00,경부고속도로,공사,상행,0,안개,151,0.0,0,34.73516,129.49993
2024-04-12 07:22:00,경부고속도로,교통사고,상행,0,맑음,175,0.0,0,35.97003,127.032
2024-04-12 12:02:00,중앙고속도로,공사,상행,2,비,114,1.89,2,37.75471,128.57766
2024-04-12 19:43:00,통영대전고속도로,공사,하행,1,비,160,0.87,1,34.55138,127.81371
2024-04-13 09:45:00,동해고속도로,교통사고,상행,0,맑음,100,0.0,0,35.40244,127.89632
2024-04-13 11:39:00,광주대구고속도로,공사,상행,3,흐림,23,1.872,2,36.626,127.64813
2024-04-13 19:58:00,중부고속도로,교통사고,하행,0,비,111,0.0,0,36.47958,128.20713
2024-04-14 15:45:00,중앙고속도로,교통사고,하행,0,눈,95,0.0,0,35.78272,128.94191
2024-04-15 07:07:00,경부고속도로,공사,상행,1,비,47,1.23,1,35.46114,126.97294
2024-04-15 11:19:00,동해고속도로,차량고장,하행,0,안개,98,0.0,0,37.26744,128.9196
2024-04-16 07:36:00,서해안고속도로,차량고장,상행,1,비,59,1.11,1,35.24402,128.08572
2024-04-16 13:30:00,중부고속도로,기상악화,하행,0,흐림,152,0.0,0,34.89364,127.41604
2024-04-16 15:22:00,통영대전고속도로,공사,하행,2,흐림,47,1.392,1,37.974,126.97475
2024-04-16 16:16:00,서해안고속도로,공사,하행,2,눈,179,2.96,2,37.15918,127.30127
2024-04-16 17:10:00,영동고속도로,공사,상행,0,안개,45,0.0,0,35.12572,127.63877
2024-04-16 17:53:00,동해고속도로,공사,하행,0,맑음,44,0.0,0,35.86496,127.14156
2024-04-16 23:17:00,남해고속도로,공사,상행,2,맑음,70,1.36,1,35.1189,128.30956
2024-04-17 07:09:00,중앙고속도로,공사,하행,1,맑음,126,0.63,1,35.47955,127.88444
2024-04-18 09:20:00,동해고속도로,교통사고,상행,1,비,170,0.735,1,36.94356,128.09585
2024-04-18 22:45:00,경부고속도로,차량고장,하행,1,비,83,1.23,1,35.71077,129.40414
2024-04-19 09:03:00,호남고속도로,낙하물,하행,1,비,166,0.825,1,34.83442,127.77906
2024-04-19 16:14:00,중앙고속도로,차량고장,하행,2,맑음,68,1.26,1,35.52922,128.86895
2024-04-20 11:37:00,동해고속도로,공사,상행,1,안개,159,0.882,1,37.27239,128.42425
2024-04-20 13:05:00,경부고속도로,차량고장,하행,0,비,106,0.0,0,36.72747,128.61439
2024-04-20 20:05:00,경부고속도로,차량고장,하행,0,맑음,15,0.0,0,36.71145,127.58016
2024-04-21 08:50:00,남해고속도로,차량고장,하행,1,맑음,86,0.68,1,34.51398,128.14823
2024-04-21 15:18:00,경부고속도로,기상악화,하행,1,비,165,1.23,1,35.77545,128.16159
2024-04-21 18:24:00,서해안고속도로,교통사고,상행,2,맑음,166,1.48,1,37.1748,128.71559
2024-04-22 07:36:00,동해고속도로,공사,상행,0,맑음,95,0.0,0,37.91634,127.67384
2024-04-22 10:19:00,중부고속도로,교통사고,하행,2,흐림,71,1.464,1,38.36695,126.88561
2024-04-22 19:45:00,남해고속도로,낙하물,상행,2,맑음,138,1.36,1,35.05361,126.53701
2024-04-23 07:34:00,서해안고속도로,공사,하행,1,맑음,138,0.74,1,35.26016,128.61112
2024-04-23 19:08:00,서해안고속도로,공사,하행,1,흐림,31,0.888,1,36.58368,129.36746
2024-04-24 09:22:00,서해안고속도로,기상악화,하행,0,안개,145,0.0,0,36.27862,129.46014
2024-04-25 07:22:00,통영대전고속도로,교통사고,하행,3,눈,62,3.48,2,38.31587,129.23874
2024-04-25 16:45:00,통영대전고속도로,교통사고,상행,2,흐림,171,1.392,1,35.48725,128.33648
2024-04-25 18:37:00,영동고속도로,기상악화,하행,0,맑음,120,0.0,0,35.16719,129.39336
2024-04-25 18:44:00,중부고속도로,교통사고,상행,1,흐림,104,0.732,1,34.66293,127.85734
