일시,지점명,기온_℃,강수량_mm,적설량_cm,시정_km,풍속_m/s,습도_%,기상상태
2024-02-28 03:00:00,대전,-7.0,0.0,0.0,8.08,5.3,84.0,맑음
2024-02-28 12:00:00,대전,10.0,0.0,0.0,8.65,3.6,70.0,맑음
2024-03-01 06:00:00,대전,8.9,0.0,0.0,10.5,1.4,94.0,흐림
2024-03-01 19:00:00,대전,4.2,3.0,0.0,12.81,0.9,87.0,비
2024-03-02 09:00:00,서울,12.6,0.0,0.0,19.31,0.4,98.0,흐림
2024-03-02 18:00:00,대구,-0.7,0.0,0.0,8.31,1.4,45.0,흐림
2024-03-02 23:00:00,대구,12.8,5.8,0.0,7.46,5.5,91.0,비
2024-03-03 08:00:00,광주,11.3,0.0,0.0,0.54,1.2,40.0,안개
2024-03-04 03:00:00,강릉,15.2,0.0,0.0,13.77,2.8,58.0,흐림
2024-03-06 16:00:00,광주,-1.7,0.0,0.0,19.88,8.3,86.0,흐림
2024-03-06 21:00:00,대구,10.4,0.0,0.0,12.98,2.3,48.0,흐림
2024-03-08 00:00:00,대전,8.2,0.0,0.0,6.82,7.9,72.0,흐림
2024-03-08 12:00:00,광주,1.7,0.0,0.0,18.83,1.0,84.0,맑음
2024-03-11 01:00:00,부산,0.5,0.0,0.0,13.79,2.6,88.0,흐림
2024-03-13 00:00:00,서울,-0.6,0.0,0.0,0.9,1.1,68.0,안개
2024-03-13 05:00:00,광주,3.4,0.0,0.0,14.41,4.9,37.0,맑음
2024-03-14 03:00:00,강릉,1.4,0.0,0.0,0.78,4.4,50.0,안개
2024-03-15 21:00:00,대구,-0.3,0.0,0.0,5.23,0.4,98.0,맑음
2024-03-16 05:00:00,부산,2.1,1.0,0.0,7.88,0.6,51.0,비
2024-03-16 10:00:00,강릉,9.4,6.2,0.0,10.6,3.4,99.0,비
2024-03-16 21:00:00,강릉,11.9,0.0,0.0,0.44,1.3,36.0,안개
2024-03-17 15:00:00,청주,0.5,17.9,0.0,17.26,3.6,48.0,비
2024-03-18 00:00:00,서울,7.4,0.0,0.0,12.69,5.5,58.0,맑음
2024-03-18 03:00:00,부산,3.0,0.0,0.0,14.56,1.9,91.0,맑음
2024-03-18 10:00:00,청주,-3.7,0.0,0.0,15.98,0.8,58.0,흐림
2024-03-19 10:00:00,대전,18.8,0.0,0.0,6.7,0.5,64.0,맑음
2024-03-20 04:00:00,서울,-0.8,0.0,0.0,10.82,13.8,33.0,맑음
2024-03-21 05:00:00,부산,10.5,0.0,0.0,16.59,4.7,64.0,맑음
2024-03-22 09:00:00,대구,6.2,0.0,0.0,5.52,0.8,43.0,흐림
2024-03-23 08:00:00,서울,13.5,0.0,0.0,5.52,5.3,48.0,흐림
2024-03-23 20:00:00,서울,4.8,0.0,0.0,17.83,0.5,33.0,맑음
2024-03-24 12:00:00,강릉,8.0,6.3,0.0,9.55,2.9,41.0,비
2024-03-24 15:00:00,대전,0.6,0.0,0.0,8.33,1.9,92.0,흐림
2024-03-24 16:00:00,대전,15.8,0.0,0.0,15.97,1.9,35.0,흐림
2024-03-24 17:00:00,대전,7.1,0.2,0.0,11.39,10.5,79.0,비
2024-03-25 06:00:00,광주,9.5,0.0,0.0,15.49,0.1,94.0,맑음
2024-03-25 11:00:00,청주,2.5,0.0,0.0,0.94,2.9,50.0,안개
2024-03-25 20:00:00,수원,5.7,0.0,0.0,0.69,3.7,54.0,안개
2024-03-26 11:00:00,광주,9.7,0.0,0.0,16.0,0.2,56.0,흐림
2024-03-27 20:00:00,서울,14.9,0.0,0.0,12.27,5.1,82.0,흐림
2024-04-01 05:00:00,강릉,6.4,0.0,0.0,13.1,4.1,73.0,맑음
2024-04-03 06:00:00,수원,0.4,0.0,0.0,8.42,0.6,40.0,맑음
2024-04-03 08:00:00,강릉,6.7,0.0,0.0,12.86,2.8,87.0,맑음
2024-04-05 07:00:00,수원,8.3,0.0,0.0,17.56,1.5,76.0,맑음
2024-04-06 20:00:00,수원,-8.5,0.0,0.0,11.7,8.4,57.0,맑음
2024-04-06 21:00:00,청주,9.9,0.0,0.0,17.66,2.6,59.0,흐림
2024-04-07 05:00:00,광주,18.3,0.0,0.0,6.43,1.3,99.0,흐림
2024-04-07 15:00:00,대전,-1.5,0.0,0.0,12.64,0.1,62.0,맑음
2024-04-08 05:00:00,광주,3.9,0.0,0.0,16.57,5.6,41.0,맑음
2024-04-08 10:00:00,청주,5.4,0.0,0.0,18.11,0.0,93.0,맑음
2024-04-09 08:00:00,서울,11.5,0.0,0.0,18.08,0.0,79.0,맑음
2024-04-10 07:00:00,수원,5.1,0.0,0.0,11.79,6.9,69.0,맑음
2024-04-10 10:00:00,부산,13.9,0.0,0.0,15.57,1.6,71.0,맑음
2024-04-11 22:00:00,부산,10.5,0.0,0.0,5.63,1.5,30.0,맑음
2024-04-12 19:00:00,대전,3.3,0.0,0.0,8.99,2.0,96.0,맑음
2024-04-12 21:00:00,강릉,16.1,0.0,0.0,16.65,3.5,89.0,맑음
2024-04-15 14:00:00,대구,4.9,6.7,0.0,7.54,2.4,42.0,비
2024-04-15 18:00:00,대전,2.1,0.0,0.0,9.54,0.3,42.0,맑음
2024-04-16 12:00:00,대전,1.7,0.0,0.0,9.4,1.0,71.0,맑음
2024-04-16 19:00:00,청주,8.7,7.3,0.0,17.05,0.7,84.0,비
2024-04-17 05:00:00,대구,11.1,0.0,0.0,16.73,0.3,83.0,맑음
2024-04-17 06:00:00,부산,7.3,0.6,0.0,18.07,0.0,95.0,비
2024-04-17 10:00:00,강릉,14.1,0.0,0.0,9.4,6.4,64.0,맑음
2024-04-18 02:00:00,대구,10.1,3.2,0.0,6.99,2.4,90.0,비
2024-04-18 02:00:00,서울,14.2,0.0,0.0,8.45,0.3,67.0,맑음
2024-04-18 14:00:00,대구,11.9,0.0,0.0,10.92,2.0,96.0,맑음
2024-04-18 15:00:00,수원,10.5,0.0,0.0,14.43,4.9,91.0,맑음
2024-04-18 19:00:00,수원,10.9,0.0,0.0,10.96,1.6,36.0,흐림
2024-04-19 07:00:00,부산,1.3,0.0,0.0,16.38,4.4,80.0,흐림
2024-04-19 19:00:00,청주,10.7,0.0,0.0,14.99,0.6,51.0,맑음
2024-04-20 14:00:00,부산,2.0,0.0,0.0,7.97,2.0,92.0,맑음
2024-04-21 01:00:00,강릉,4.2,0.0,0.0,12.81,0.1,33.0,맑음
2024-04-21 09:00:00,서울,16.8,0.0,0.0,17.94,3.4,74.0,흐림
2024-04-22 02:00:00,강릉,6.5,0.0,0.0,18.18,3.4,34.0,맑음
2024-04-22 05:00:00,부산,6.3,0.0,0.0,12.31,3.4,78.0,맑음
2024-04-22 10:00:00,부산,8.3,0.0,0.0,9.01,2.5,82.0,맑음
2024-04-22 20:00:00,강릉,1.6,0.0,0.0,5.74,0.4,54.0,맑음
2024-04-23 03:00:00,부산,5.6,0.0,0.0,5.28,0.6,69.0,맑음
2024-04-23 14:00:00,청주,5.9,0.0,0.0,12.81,5.6,37.0,맑음
2024-04-25 13:00:00,부산,10.8,14.3,0.0,16.14,10.5,38.0,비
2024-04-26 01:00:00,서울,5.2,0.0,0.0,8.74,1.5,90.0,맑음
2024-04-28 08:00:00,대전,15.2,0.0,0.0,7.29,0.6,70.0,맑음
2024-05-01 02:00:00,강릉,20.0,0.0,0.0,13.33,7.7,57.0,흐림
2024-05-02 07:00:00,대전,15.9,0.0,0.0,17.48,7.5,92.0,흐림
2024-05-02 07:00:00,대전,15.1,0.0,0.0,16.28,1.1,49.0,맑음
2024-05-02 14:00:00,강릉,15.2,0.0,0.0,10.06,1.7,58.0,맑음
2024-05-02 18:00:00,광주,20.8,0.0,0.0,16.48,10.7,64.0,맑음
2024-05-02 21:00:00,부산,6.9,0.0,0.0,0.76,3.7,36.0,안개
2024-05-03 08:00:00,대전,7.9,0.0,0.0,12.73,2.4,94.0,맑음
2024-05-03 15:00:00,수원,6.8,0.0,0.0,16.07,1.9,39.0,맑음
2024-05-05 03:00:00,서울,12.6,0.0,0.0,15.0,1.3,97.0,맑음
2024-05-05 05:00:00,부산,3.0,0.0,0.0,13.73,4.9,87.0,맑음
2024-05-05 21:00:00,수원,12.7,0.0,0.0,15.73,4.9,72.0,맑음
2024-05-06 01:00:00,대구,19.7,0.0,0.0,11.99,4.3,77.0,맑음
2024-05-06 11:00:00,대구,8.6,0.0,0.0,5.84,3.0,85.0,흐림
2024-05-06 13:00:00,청주,17.4,1.1,0.0,7.3,2.0,96.0,비
2024-05-06 23:00:00,대구,12.2,0.0,0.0,14.03,3.0,45.0,맑음
2024-05-08 23:00:00,대전,2.2,0.0,0.0,19.36,2.4,87.0,흐림
2024-05-09 06:00:00,광주,13.7,0.0,0.0,13.73,2.7,93.0,흐림
2024-05-09 11:00:00,광주,12.5,0.0,0.0,9.67,4.1,72.0,흐림
2024-05-10 06:00:00,서울,6.4,0.0,0.0,7.8,2.4,70.0,흐림
2024-05-10 11:00:00,강릉,14.0,11.8,0.0,5.64,3.4,66.0,비
2024-05-12 00:00:00,광주,8.2,0.0,0.0,11.64,0.0,32.0,맑음
2024-05-12 05:00:00,서울,16.8,0.0,0.0,11.36,1.6,76.0,맑음
2024-05-12 14:00:00,광주,17.5,0.0,0.0,14.44,10.7,77.0,맑음
2024-05-16 16:00:00,부산,5.6,0.0,0.0,7.3,1.7,97.0,흐림
2024-05-16 22:00:00,대전,17.2,0.0,0.0,5.2,1.0,89.0,흐림
2024-05-18 08:00:00,광주,19.0,0.0,0.0,14.81,2.6,69.0,맑음
2024-05-18 13:00:00,청주,17.7,3.8,0.0,10.08,4.6,66.0,비
2024-05-18 22:00:00,대구,10.6,0.0,0.0,9.01,4.7,73.0,흐림
2024-05-22 17:00:00,강릉,4.6,0.0,0.0,15.07,1.6,55.0,흐림
2024-05-22 18:00:00,청주,18.7,16.2,0.0,7.42,6.1,88.0,비
2024-05-23 02:00:00,청주,8.7,0.0,0.0,11.11,0.8,46.0,맑음
2024-05-23 13:00:00,광주,16.6,0.0,0.0,17.42,8.2,47.0,맑음
2024-05-24 07:00:00,강릉,11.6,0.0,0.0,11.69,0.0,33.0,맑음
2024-05-24 16:00:00,광주,10.9,0.1,0.0,9.29,2.7,55.0,비
2024-05-25 06:00:00,서울,1.1,0.0,0.0,18.61,0.3,92.0,맑음
2024-05-25 21:00:00,부산,7.9,0.0,0.0,16.45,0.6,67.0,맑음
2024-05-27 11:00:00,강릉,12.2,0.0,0.0,13.01,2.5,91.0,흐림
2024-05-27 15:00:00,서울,11.1,0.0,0.0,5.03,7.1,61.0,맑음
2024-06-01 06:00:00,부산,12.7,0.0,0.0,6.77,0.9,66.0,맑음
2024-06-01 06:00:00,수원,14.3,0.0,0.0,12.28,0.6,79.0,맑음
2024-06-01 06:00:00,강릉,14.8,0.0,0.0,10.97,0.3,91.0,맑음
2024-06-02 20:00:00,수원,14.7,0.0,0.0,13.52,11.5,54.0,맑음
2024-06-04 02:00:00,광주,15.0,0.0,0.0,17.52,3.9,69.0,맑음
2024-06-06 10:00:00,강릉,13.2,0.0,0.0,6.3,0.9,51.0,맑음
2024-06-06 19:00:00,대구,10.5,0.1,0.0,17.45,6.1,31.0,비
2024-06-08 03:00:00,수원,14.8,0.0,0.0,15.16,0.7,58.0,맑음
2024-06-08 09:00:00,강릉,12.9,0.0,0.0,0.31,1.3,92.0,안개
2024-06-09 04:00:00,대전,12.0,0.0,0.0,16.22,1.4,54.0,흐림
2024-06-10 18:00:00,강릉,19.5,0.0,0.0,16.66,2.2,72.0,맑음
2024-06-11 10:00:00,대전,13.4,0.0,0.0,18.16,2.7,43.0,맑음
2024-06-11 12:00:00,광주,16.6,1.0,0.0,6.73,0.5,82.0,비
2024-06-12 20:00:00,대구,14.3,0.0,0.0,9.67,0.9,61.0,흐림
2024-06-13 14:00:00,청주,11.5,1.0,0.0,10.77,4.1,50.0,비
2024-06-13 19:00:00,대구,11.0,0.4,0.0,16.29,0.3,88.0,비
2024-06-14 00:00:00,대전,14.9,0.0,0.0,6.25,0.5,57.0,흐림
2024-06-14 18:00:00,서울,16.3,0.0,0.0,6.12,3.2,71.0,맑음
2024-06-15 13:00:00,부산,8.5,0.0,0.0,16.78,1.5,88.0,맑음
2024-06-15 19:00:00,청주,23.7,0.0,0.0,0.73,0.6,52.0,안개
2024-06-15 20:00:00,광주,12.2,0.0,0.0,15.85,0.7,35.0,맑음
2024-06-15 21:00:00,서울,7.2,0.0,0.0,14.63,4.9,93.0,맑음
2024-06-16 16:00:00,대구,5.4,0.0,0.0,6.45,1.4,69.0,맑음
2024-06-16 18:00:00,부산,18.7,0.0,0.0,9.57,1.2,98.0,흐림
2024-06-16 22:00:00,강릉,15.7,0.0,0.0,0.62,2.9,67.0,안개
2024-06-17 18:00:00,강릉,10.8,0.0,0.0,10.34,6.8,57.0,맑음
2024-06-19 17:00:00,수원,24.4,6.5,0.0,8.29,0.4,68.0,비
2024-06-20 08:00:00,청주,9.0,0.0,0.0,10.88,5.0,69.0,맑음
2024-06-20 09:00:00,서울,9.1,0.0,0.0,12.2,2.8,57.0,흐림
2024-06-22 13:00:00,청주,25.2,0.0,0.0,7.82,2.1,40.0,맑음
2024-06-22 16:00:00,수원,12.1,0.0,0.0,6.98,0.9,36.0,흐림
2024-06-24 03:00:00,대전,9.5,0.0,0.0,0.84,3.5,81.0,안개
2024-06-24 11:00:00,대구,17.4,0.0,0.0,18.39,2.9,68.0,맑음
2024-06-24 12:00:00,광주,2.3,0.0,0.0,12.73,0.6,93.0,맑음
2024-06-25 16:00:00,서울,22.4,0.0,0.0,9.99,2.0,95.0,맑음
2024-06-26 04:00:00,수원,8.7,0.0,0.0,12.83,2.3,65.0,맑음
2024-06-26 11:00:00,대전,11.2,0.0,0.0,9.11,0.6,51.0,흐림
2024-06-26 12:00:00,수원,13.8,0.0,0.0,19.77,1.3,56.0,맑음
2024-06-26 17:00:00,대전,7.7,0.0,0.0,6.5,0.3,59.0,맑음
2024-06-27 02:00:00,청주,21.0,0.0,0.0,7.14,2.7,62.0,맑음
2024-06-27 06:00:00,청주,20.9,0.0,0.0,8.36,10.4,67.0,흐림
2024-06-27 07:00:00,수원,15.7,0.0,0.0,10.34,0.8,45.0,흐림
2024-06-28 17:00:00,대구,20.8,0.0,0.0,13.72,1.4,36.0,맑음
2024-07-01 23:00:00,대전,19.0,0.0,0.0,12.31,2.4,46.0,맑음
2024-07-02 10:00:00,광주,11.8,0.0,0.0,15.39,1.7,77.0,흐림
2024-07-02 12:00:00,수원,16.5,0.0,0.0,15.55,0.1,33.0,맑음
2024-07-02 21:00:00,수원,10.0,2.0,0.0,11.48,7.1,63.0,비
2024-07-04 21:00:00,부산,13.1,0.0,0.0,9.11,7.3,96.0,맑음
2024-07-06 12:00:00,부산,13.6,0.0,0.0,15.75,3.7,95.0,맑음
2024-07-06 17:00:00,강릉,16.2,7.9,0.0,14.51,9.9,54.0,비
2024-07-08 01:00:00,서울,11.8,0.0,0.0,7.22,5.5,66.0,맑음
2024-07-08 08:00:00,서울,11.1,0.0,0.0,11.45,6.5,56.0,흐림
2024-07-11 00:00:00,광주,7.3,6.3,0.0,13.26,0.6,84.0,비
2024-07-11 19:00:00,강릉,3.4,0.0,0.0,13.25,0.7,71.0,흐림
2024-07-12 20:00:00,대구,8.5,0.0,0.0,18.18,0.3,56.0,흐림
2024-07-13 00:00:00,수원,18.1,0.0,0.0,13.77,3.4,77.0,흐림
2024-07-14 19:00:00,부산,17.4,0.0,0.0,16.78,2.6,39.0,흐림
2024-07-14 19:00:00,수원,9.7,0.0,0.0,12.62,1.7,36.0,흐림
2024-07-15 07:00:00,대전,13.3,0.0,0.0,12.71,5.7,50.0,흐림
2024-07-18 11:00:00,대구,15.2,6.4,0.0,13.2,0.4,45.0,비
2024-07-19 09:00:00,대전,9.2,0.0,0.0,19.48,0.0,35.0,맑음
2024-07-19 09:00:00,대구,4.5,0.0,0.0,0.24,0.2,37.0,안개
2024-07-19 11:00:00,부산,12.4,0.0,0.0,10.81,1.3,80.0,흐림
2024-07-20 21:00:00,강릉,20.0,9.9,0.0,18.49,2.2,35.0,비
2024-07-21 22:00:00,대전,13.0,0.0,0.0,12.59,2.3,85.0,맑음
2024-07-22 02:00:00,부산,20.0,0.0,0.0,6.45,7.8,50.0,맑음
2024-07-23 10:00:00,대전,4.8,0.0,0.0,7.45,2.2,32.0,맑음
2024-07-24 18:00:00,수원,9.3,0.0,0.0,17.67,1.7,45.0,맑음
2024-07-25 04:00:00,청주,10.0,3.4,0.0,10.06,5.8,81.0,비
2024-07-25 06:00:00,청주,16.3,0.0,0.0,13.46,0.2,45.0,맑음
2024-07-25 07:00:00,청주,22.3,0.0,0.0,9.97,0.2,48.0,맑음
2024-07-26 08:00:00,대전,24.6,0.0,0.0,9.39,2.2,78.0,맑음
2024-07-27 06:00:00,서울,22.2,0.0,0.0,0.99,1.6,87.0,안개
2024-07-27 07:00:00,광주,18.2,0.0,0.0,7.35,0.3,75.0,맑음
2024-07-27 09:00:00,대전,15.2,0.0,0.0,0.99,1.5,30.0,안개
2024-07-28 16:00:00,청주,15.7,0.0,0.0,17.75,1.3,77.0,흐림
2024-08-01 09:00:00,부산,13.6,0.3,0.0,12.3,3.0,91.0,비
2024-08-02 06:00:00,청주,11.3,0.0,0.0,13.88,0.3,60.0,맑음
2024-08-05 09:00:00,부산,1.5,0.0,0.0,8.65,6.3,57.0,맑음
2024-08-05 15:00:00,부산,3.3,0.0,0.0,15.33,2.0,89.0,흐림
2024-08-05 20:00:00,대구,12.0,0.0,0.0,13.25,1.2,80.0,흐림
2024-08-06 00:00:00,청주,17.4,0.0,0.0,10.43,0.5,63.0,흐림
2024-08-06 23:00:00,부산,5.7,0.0,0.0,7.26,1.1,35.0,흐림
2024-08-08 00:00:00,대전,13.8,0.0,0.0,0.47,0.6,97.0,안개
2024-08-09 04:00:00,광주,9.5,7.3,0.0,10.62,3.5,79.0,비
2024-08-09 09:00:00,부산,8.4,2.5,0.0,12.5,1.1,40.0,비
2024-08-09 23:00:00,청주,7.2,0.0,0.0,5.22,0.7,60.0,맑음
2024-08-10 04:00:00,대구,10.9,0.0,0.0,14.66,0.2,62.0,흐림
2024-08-11 02:00:00,대구,4.2,0.0,0.0,17.76,1.1,92.0,맑음
2024-08-11 06:00:00,수원,5.4,0.0,0.0,13.05,0.2,68.0,맑음
2024-08-11 15:00:00,광주,11.5,0.0,0.0,16.16,1.6,63.0,맑음
2024-08-11 15:00:00,강릉,3.0,0.0,0.0,11.77,6.1,72.0,흐림
2024-08-11 17:00:00,부산,18.9,1.1,0.0,8.45,3.2,39.0,비
2024-08-11 18:00:00,서울,14.2,0.0,0.0,16.46,0.3,69.0,비
2024-08-12 07:00:00,수원,13.5,0.8,0.0,15.71,0.8,45.0,비
2024-08-13 05:00:00,대전,19.0,0.0,0.0,5.15,2.8,92.0,맑음
2024-08-13 16:00:00,강릉,13.9,0.0,0.0,17.16,3.0,63.0,흐림
2024-08-14 18:00:00,강릉,3.5,0.0,0.0,18.93,1.1,87.0,흐림
2024-08-15 22:00:00,강릉,2.4,0.0,0.0,16.82,0.1,44.0,맑음
2024-08-16 05:00:00,강릉,9.9,0.0,0.0,12.3,1.5,38.0,맑음
2024-08-16 07:00:00,서울,12.4,0.0,0.0,19.79,9.1,70.0,흐림
2024-08-16 14:00:00,청주,10.8,0.0,0.0,19.13,0.3,64.0,흐림
2024-08-17 14:00:00,청주,16.3,3.8,0.0,12.46,0.3,68.0,비
2024-08-17 16:00:00,대전,14.7,0.0,0.0,12.71,2.1,49.0,맑음
2024-08-20 20:00:00,서울,1.5,0.0,0.0,12.92,2.9,65.0,맑음
2024-08-21 11:00:00,대구,14.3,13.4,0.0,0.37,1.2,76.0,안개
2024-08-21 18:00:00,대구,18.6,0.0,0.0,10.87,3.9,32.0,흐림
2024-08-21 18:00:00,서울,15.4,0.0,0.0,11.56,5.0,85.0,맑음
2024-08-22 13:00:00,대전,3.6,0.0,0.0,0.74,0.2,65.0,안개
2024-08-23 08:00:00,수원,11.6,0.0,0.0,13.0,1.0,54.0,맑음
2024-08-23 12:00:00,부산,21.3,0.0,0.0,9.87,5.2,34.0,흐림
2024-08-24 03:00:00,강릉,19.3,0.0,0.0,14.62,0.5,43.0,맑음
2024-08-24 08:00:00,서울,4.1,0.0,0.0,6.34,0.1,78.0,흐림
2024-08-24 16:00:00,대전,13.6,0.0,0.0,9.91,0.4,95.0,맑음
2024-08-25 19:00:00,광주,9.5,18.4,0.0,6.04,1.1,61.0,비
2024-08-25 19:00:00,광주,13.4,0.0,0.0,10.63,8.2,51.0,흐림
2024-08-26 14:00:00,광주,0.4,0.0,0.0,12.0,5.2,70.0,맑음
2024-08-27 10:00:00,서울,12.1,0.0,0.0,15.49,2.3,39.0,맑음
2024-09-01 00:00:00,대전,3.2,0.0,0.0,6.17,1.1,76.0,흐림
2024-09-03 08:00:00,대전,3.9,0.0,0.0,13.51,2.5,83.0,흐림
2024-09-03 14:00:00,부산,7.1,0.0,0.0,19.12,8.8,59.0,맑음
2024-09-04 02:00:00,수원,7.4,0.0,0.0,11.02,7.2,35.0,맑음
2024-09-04 06:00:00,대구,7.8,0.0,0.0,15.86,9.6,99.0,맑음
2024-09-06 22:00:00,대전,6.6,0.0,0.0,9.65,5.8,31.0,흐림
2024-09-07 07:00:00,대전,10.5,0.0,0.0,0.78,7.8,77.0,안개
